task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
bernoulli_glm,10⁵,3,SMC-ABC,0.8094,0.09339005,13.623922,,0.4484532038370768,10.631142120382961,3bbac59e-94b8-42f7-a9bf-ff8f99203fe5
slcp_distractors,10⁴,2,SNRE,0.97665,0.19253647,380.39868,,9.365565999348958,,2c9aab1f-4d12-42f8-9d98-32aa172f98e7
bernoulli_glm_raw,10⁴,1,SMC-ABC,0.9739,0.35456747,3.8729835,,0.06250199874242147,11.820111296532131,24571f4d-4400-4a47-ae83-c7305b6b61fd
gaussian_mixture,10³,3,NRE,0.74485,0.14776677,1.6253326,,1.2416028340657552,8.38289579119708,c39f3ec8-29d5-41de-b8f6-a66bc6066f35
bernoulli_glm,10⁴,7,SNLE,0.5369,0.00468874,12.99851,,29.714324951171875,11.823145024518757,7a5af7f9-39d0-4fc2-bf93-50f990131085
two_moons,10³,9,NLE,0.73445,0.0019913912,0.09752505,,3.079425303141276,inf,c9a6bef0-cda9-4ce7-9cd3-6f597a1e676c
sir,10⁵,8,SNRE,0.55025,0.0009351969,21.575445,,86.55814615885419,14.558194528661009,6e6c8a11-39f5-4ab6-a015-8f00890f21be
bernoulli_glm_raw,10⁵,5,REJ-ABC,0.9933,0.49559996,5.656854,,0.3417125701904297,9.20434372799246,f24a38be-08ae-4d62-bd50-774d7d6ceb54
slcp,10³,10,NRE,0.9352,0.07112801,3.664672,,2.7914586385091145,32.41510898877948,9b9a14b9-8c13-4172-b763-a84e0ae9d84b
slcp_distractors,10³,4,SMC-ABC,0.99315,0.41386744,570.21265,,0.05640767415364582,,9564760a-bdd5-4a69-9e0c-3de13f31dbcd
slcp,10⁵,7,SNRE,0.79905,0.005395174,29.125252000000003,,175.45999348958333,22.67385763851601,7c7c0d73-0c35-4369-a8b4-93b6366ba2d6
lotka_volterra,10⁴,5,REJ-ABC,0.99995,0.5621854000000001,31.113743,,1.2314019521077475,21.689735862940164,9283ce71-24c2-4e6e-8386-0d7a84341cd2
slcp_distractors,10⁵,8,SNLE,0.88235,0.05608058,425.84662,,225.91160481770837,,82a3f03d-665b-46dc-bde9-d319798558c3
slcp,10³,10,SMC-ABC,0.9637,0.22420895,4.634134,,0.022961088021596274,34.75884690927988,5475cc68-412b-40af-ad5c-d3ad47ed3bf3
bernoulli_glm,10³,1,REJ-ABC,0.9918,0.46865055,28.320442,,0.028313008944193526,9.998949175417826,9f37dcb0-e6e8-4639-879e-1957a1327061
slcp_distractors,10³,3,SMC-ABC,0.98185,0.07750571,387.07025,,0.05210264523824056,,5fae1648-ca77-415b-8768-cf6f2a43ba1a
lotka_volterra,10⁵,4,SNLE,0.8322,0.07691556,113.75649,,100.90697428385415,25.261245027094148,f2aad7ca-f20e-4fad-9e96-388435df4cf3
slcp_distractors,10⁴,8,SNLE,0.94595,0.15156186,426.8662,,34.17920735677083,,e79c2d13-db5f-46d8-a593-62627a624412
sir,10⁴,6,NLE,0.68385,0.08006811,25.514702,,13.675384521484375,15.605813633832856,cdb8a3c8-7a70-482d-9cba-945883846a63
slcp_distractors,10³,2,REJ-ABC,0.99135,0.25748134,382.34186,,0.036246450742085774,,ac8de650-3243-4973-9e3e-a9f342601ca3
slcp_distractors,10⁵,3,SNRE,0.69135,0.009582162,389.09973,,181.24786783854168,,648cbd8a-7496-441f-8a4c-8b64606bc899
gaussian_linear_uniform,10⁴,6,SNPE,0.5145,0.001024127,1.2970605,,22.88270263671875,3.9247648225940845,8d11a4db-cc05-41e6-bebb-3348d8d9b6c5
lotka_volterra,10³,10,NRE,0.9996,0.5394466,148.05319,,2.786614990234375,21.715547139202247,9f73d413-a783-471e-b075-0128065b2c84
gaussian_mixture,10⁵,10,SMC-ABC,0.6679999999999999,0.007262945,0.65528154,,0.16612097422281902,9.339138693771755,828a115e-8f81-4fda-82e6-8fbba283f633
lotka_volterra,10⁵,6,REJ-ABC,0.9996,0.5568376,53.565964,,9.09236348470052,23.539317882324728,cd5e89cc-6080-4583-88be-1bd2308a25dd
gaussian_mixture,10⁴,3,SNPE,0.5978,0.0028936863,1.0860417,,14.216776529947914,11.822068568218366,8d7e0e14-8558-4e40-b323-cac098a4b2c4
bernoulli_glm_raw,10⁴,8,SNLE,0.99105,0.74009854,3.4641016,,47.92764078776042,11.72828322552322,d86ee249-416b-4368-9735-a71c643c40e9
